                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                  2.297,                 2.0042,                 1.9856,                0.61588,                0.63331,                 0.6643,                 0.2893,                   2.53,                  2.856,                 1.9053,             0.00026123,             0.00026123,             0.00026123
                    106,                 2.4362,                 2.1694,                 1.9324,                0.50608,                0.66908,                0.65785,                0.34435,                 2.4724,                  2.279,                 1.8699,             0.00025573,             0.00025573,             0.00025573
                    107,                  2.424,                 2.2245,                 1.9868,                0.39238,                0.48101,                0.50952,                0.26932,                 2.6307,                 5.6737,                 1.9874,             0.00025023,             0.00025023,             0.00025023
                    108,                 2.3817,                 1.9425,                 1.9695,                0.60988,                0.65817,                0.67076,                0.31461,                 2.4709,                 2.0469,                 1.8608,             0.00024474,             0.00024474,             0.00024474
                    109,                 2.2936,                 1.9683,                 1.9166,                0.76617,                0.61619,                0.68637,                0.33038,                 2.4743,                 2.0245,                 1.8679,             0.00023924,             0.00023924,             0.00023924
                    110,                 2.3281,                 2.0454,                 2.0064,                0.51369,                 0.4927,                0.52369,                0.21998,                 2.5289,                 2.9768,                 1.9301,             0.00023374,             0.00023374,             0.00023374
                    111,                 2.3777,                 1.9939,                 1.8951,                0.75292,                0.65946,                 0.7049,                0.29861,                 2.4296,                 1.8835,                 1.8478,             0.00022824,             0.00022824,             0.00022824
                    112,                 2.2799,                 2.0297,                 1.9631,                0.57839,                0.60634,                0.66255,                0.32115,                 2.4901,                 2.0308,                 1.8381,             0.00022274,             0.00022274,             0.00022274
                    113,                 2.3538,                 1.9563,                 1.9054,                0.73932,                0.67498,                0.70849,                0.33359,                 2.4326,                 1.9491,                 1.8464,             0.00021725,             0.00021725,             0.00021725
                    114,                 2.3733,                 2.0407,                 1.9929,                0.77131,                0.63636,                0.72293,                 0.3637,                 2.4032,                 1.9419,                  1.809,             0.00021175,             0.00021175,             0.00021175
                    115,                 2.3522,                 2.0328,                 2.0044,                  0.554,                0.65509,                 0.7138,                0.33594,                 2.4071,                 1.9249,                 1.8244,             0.00020625,             0.00020625,             0.00020625
                    116,                 2.2397,                 1.9509,                 1.9448,                0.63138,                0.65285,                0.69454,                0.33752,                 2.4655,                 1.9528,                 1.8896,             0.00020075,             0.00020075,             0.00020075
                    117,                 2.2874,                 1.8455,                 1.8839,                 0.5827,                0.62692,                0.67557,                0.32857,                 2.4615,                 1.9144,                 1.8726,             0.00019526,             0.00019526,             0.00019526
                    118,                 2.2311,                 1.8965,                 1.9381,                0.49492,                0.72367,                0.66806,                0.30491,                 2.4835,                 2.1287,                 1.8939,             0.00018976,             0.00018976,             0.00018976
                    119,                 2.3275,                 1.8994,                 1.8231,                0.53477,                0.66312,                0.64053,                0.31025,                 2.5045,                 2.2971,                  1.912,             0.00018426,             0.00018426,             0.00018426
                    120,                 2.3388,                 1.9595,                 1.9814,                0.53241,                0.67276,                 0.6495,                0.31188,                 2.4637,                 1.9453,                 1.8602,             0.00017876,             0.00017876,             0.00017876
                    121,                 2.2986,                 1.9801,                 1.9042,                0.72262,                0.69801,                0.73603,                0.38971,                 2.4278,                 1.9426,                  1.854,             0.00017326,             0.00017326,             0.00017326
                    122,                 2.2834,                 2.0141,                 1.8992,                0.82336,                0.57625,                0.69048,                0.37984,                 2.3984,                 1.9359,                  1.846,             0.00016777,             0.00016777,             0.00016777
                    123,                   2.27,                 1.8276,                 1.9046,                0.59577,                0.70175,                 0.7294,                0.36492,                  2.354,                  1.803,                  1.803,             0.00016227,             0.00016227,             0.00016227
